,artist,count,genre
0,"""Weird Al"" Yankovic",1,comedy
1,'Til Tuesday,10,new wave
2,(G)I-DLE,1725,k-pop
3,(K)NoW_NAME,1,anime
4,(sic)boy,2,japanese
5,(여자)아이들,5,Korean
6,(여자)아이들 ((G)I-DLE),13,
7,*NSYNC,1,pop
8,*repeat repeat,1,indie
9,009 Sound System,3,trance
10,015B,9,Korean
11,070 Phi,1,rap
12,1 800 PAIN,1,industrial hip-hop
13,100 gecs,50,hyperpop
14,1096 Gang,1,Hip-Hop
15,10cc,1,classic rock
16,10cm,2,Korean
17,199X,1,electronic
18,1TEAM,1,k-pop
19,2 Mello,124,Hip-Hop
20,2 Unlimited,2,eurodance
21,200gavas,1,
22,23,2,rap
23,2NE1,1,k-pop
24,2Pac,1,rap
25,2ToneDisco,6,electronic
26,2td,2,USA
27,2xxx,92,rnb
28,2xxx!,4,Korean
29,31 Minutos,1,chile
30,3D Blast,1,USA
31,3L,4,touhou
32,3R2,1,happy hardcore
33,3YE,1,k-pop
34,3mouth,1,chill
35,3nd,8,post-rock
36,4 Non Blondes,2,rock
37,4*TOWN (From Disney and Pixar’s Turning Red),1,pop
38,4minute,2,k-pop
39,50 Cent,1,rap
40,5ubaruu,1,breakcore
41,666fuckthecops,1,Hip-Hop
42,6LACK,3,rnb
43,72-HOUR POST FIGHT,1,jazz
44,7Even (Gr),1,Greek
45,808Vic,1,rap
46,80KIDZ,12,electronic
47,88-Keys,7,Hip-Hop
48,88rising,13,Hip-Hop
49,9001,1,Korean
50,9MUSES,10,k-pop
51,9mm Parabellum Bullet,2,J-rock
52,9th Wonder,1,Hip-Hop
53,A Boogie wit da Hoodie,1,rap
54,A Crow is White,63,japanese
55,A Day to Remember,1,post-hardcore
56,A Different Breed Of Killer,1,deathcore
57,A Flock of Seagulls,12,new wave
58,A L E X,6,Lo-Fi
59,A Pink,2,k-pop
60,A$AP Ferg,1,Hip-Hop
61,A$AP Mob,3,Hip-Hop
62,A$AP Rocky,3,Hip-Hop
63,A-Kil,2,Hip-Hop
64,A.C.E,1,k-pop
65,A5ura,2,
66,AAAMYYY,2,japanese
67,ABBA,4,pop
68,ABC,1,80s
69,ABSRDST,1,future bass
70,AC/DC,10,hard rock
71,ACCORD ON CODES,2,jazz
72,ACRAZE,52,pop
73,ADOT,1,
74,ADOY,2,dream pop
75,AERO GROS M,2,crushed trap
76,AJMW,9,beats
77,AJR,4,seen live
78,AKKOGORILLA,1,hip hop
79,AKMU,2,Korean
80,ALL OFF,1,japanese
81,ANIMAL HACK,1,subenoana
82,ANOHNI,3,electronic
83,AOA,5,k-pop
84,AOA CREAM,3,k-pop
85,ARIAZ,4,k-pop
86,ART-SCHOOL,2,J-rock
87,ASH ISLAND,2,Hip-Hop
88,"ASH ISLAND, MOON",1,
89,ASIAN KUNG-FU GENERATION,4,J-rock
90,ASTN,3,soul
91,ATEEZ,3,k-pop
92,AUSTN,1,electronic
93,AUV,1,chillout
94,AYIKO,4,
95,AYONI,2,barbadian
96,Aair,1,electronic
97,Aaron Choulai,31,jazz
98,Aaron May,1,hip hop
99,Aaron Taylor,3,chillout
100,Ab-Soul,12,Hip-Hop
101,Abel Cainstro,1,
102,Abhi//Dijon,1,r&b
103,Abhorrent Decimation,1,death metal
104,Abnormality,2,death metal
105,Above & Beyond,1,trance
106,Abra,1,rnb
107,Abstrakt Idea,6,instrumental hip-hop
108,Acari,1,rock
109,Ace Hashimoto,3,brandun deshay
110,AcesToAces,4,future funk
111,Acetantina,1,vaporwave
112,Acrania,11,deathcore
113,Action Bronson,8,Hip-Hop
114,Active Child,2,experimental
115,Actress,1,electronic
116,Adam Ant,1,new wave
117,Adebisi Shank,2,math rock
118,Ado,373,electro
119,Adolf Nomura,5,electronic
120,Adriana Figueroa,3,folk
121,Adrianwave,1,electronic
122,Adrien Soleiman,2,
123,Adust Rain,8,Melodic Death Metal
124,Adventure Time,1,experimental
125,Aeon,1,death metal
126,Aero Chord,2,trap
127,Aerosmith,6,rock
128,Afrocidade,1,seen live
129,After the Fire,12,new wave
130,Ag Club,2,rap
131,Against All Logic,1,electronic
132,Age Factory,1,rock
133,Agnes Nunes,1,rnb
134,Agust D,3,rap
135,Ahee,1,noise
136,Aice room,3,electronic
137,Aika,1,finnish
138,Aimer,3,j-pop
139,Aimi,1,j-pop
140,Aimless,4,beats
141,Aiobahn,54,electronic
142,Aiobahn & Yunomi,5,japanese
143,Air,1,electronic
144,Air Supply,11,80s
145,AirY,1,electronic
146,Airospace,1,Hip-Hop
147,Airuei,1,
148,Akane Kuyuri,3,
149,Akintoye,1,hip hop
150,Akio Watanabe,1,
151,Akira Complex,139,dubstep
152,Akon,1,Hip-Hop
153,Akosmo,1,Lo-Fi
154,Al Storm,1,happy hardcore
155,Alabama Shakes,1,blues
156,Alain Bashung,1,french
157,Aldn,1,hyperpop
158,Alec Empire,2,digital hardcore
159,Alec Wigdahl,2,pop
160,Alemeda,2,rnb
161,Alessi Brothers,3,pop
162,Alessia Cara,1,pop
163,Alex Aiono,1,pop
164,Alex G,1,seen live
165,Alex Gaudino,1,House
166,Alex Isley,1,soul
167,Alexa,1,pop
168,Alexa ASMR,9,
169,Alexander Scriabin,1,Classical
170,Alexandra Roos,1,chanson francaise
171,Alexandra Stan,1,dance
172,Alfred Beach Sandal,12,folk
173,Algiers,1,seen live
174,Ali,1,Hip-Hop
175,Alice Deejay,149,dance
176,Alice et Moi,1,french
177,Alicia Keys,2,soul
178,Aline,1,french
179,Aliose,1,seen live
180,Alisha,1,Disco
181,Alison Moyet,1,female vocalists
182,Alkaloid,2,progressive death metal
183,All Shall Perish,1,deathcore
184,All Time Low,1,pop punk
185,Allegaeon,2,Melodic Death Metal
186,Allie X,4,synthpop
187,Allison Weiss,1,indie
188,Allstar Weekend,1,pop
189,Alluvial,1,Technical Death Metal
190,Alma Animo,1,
191,Alpha 9,1,trance
192,Alphabeat,1,pop
193,Aluna,4,trance
194,Alvin & The Chipmunks,1,funny
195,Alvin Stardust,1,glam rock
196,Alvvays,13,dream pop
197,Aly & AJ,1,pop
198,Amaal,4,rnb
199,Amaal Nuux,1,Canadian
200,Amandla Stenberg,1,danish
201,Amber Mark,9,pop
202,Ambrosia,4,soft rock
203,Ambré,1,electronic
204,Ambulo,3,Lo-Fi
205,Ameba,1,abstract hip-hop
206,America,32,classic rock
207,American Football,3,emo
208,Aminé,33,rap
209,Amon Amarth,6,Melodic Death Metal
210,Amoure,2,new age
211,Amy Winehouse,1,soul
212,AnTgry,4,vaporwave
213,Anaal Nathrakh,1,black metal
214,Analepsy,1,Brutal Death Metal
215,Analogfish,1,J-rock
216,Anamanaguchi,3,chiptune
217,Anda,1,folk
218,Anderex,170,australian
219,Anderson .Paak,39,soul
220,Andrew Huang,1,experimental
221,Andy Gibb,5,Disco
222,Andy Williams,11,oldies
223,Aneka,3,pop
224,Angeline Quinto,1,pop
225,Angelmaker,2,deathcore
226,Angus & Julia Stone,2,folk
227,Animal Collective,10,experimental
228,AnimationStation,1,british
229,Ann Marie,3,rnb
230,Annapantsu,1,cover
231,Anne-Marie,21,pop
232,Annotations of an Autopsy,2,deathcore
233,Anomalie,6,screamo
234,Anonymous,4,early music
235,Anonymuz,1,rap
236,Ansel Elgort,1,pop
237,Anthrax,1,thrash metal
238,Anti (CV: Kenichi Suzumura),1,
239,Antoine Bradford,1,rnb
240,Anton Webern,1,Classical
241,Antonio Soler,1,baroque
242,Antonín Dvořák,2,Classical
243,Aoi Sumito,1,japanese
244,Apashe,1,trap
245,Aperture Science Psychoacoustic Laboratories,3,Soundtrack
246,Aperture Science Psychoacoustics Laboratory,4,Soundtrack
247,Aphex Twin,8,electronic
248,Apink,14,k-pop
249,Apo Hiking Society,9,OPM
250,Apparat,1,idm
251,Apple Light,4,shoegaze
252,Applekid,30,
253,April,17,hardcore
254,Aran,432,atmospheric black metal
255,Arbour,15,beats
256,Arc Nade,1,House
257,Arcade Fire,1,indie
258,Arctic Monkeys,96,indie rock
259,Aretha Franklin,6,soul
260,Ari Lennox,10,rnb
261,Ariana Grande,198,pop
262,Ariel Pink,2,Lo-Fi
263,Ariel Rivera,3,ariel rivera
264,Arielle Maren,1,
265,Aries,2,Progressive rock
266,Arin Ray,2,rnb
267,Arizona Zervas,1,Hip-Hop
268,Ark Patrol,1,electronic
269,Arlo Parks,5,rnb
270,Arm,2,touhou
271,Arms and Sleepers,1,ambient
272,Arnold Schönberg,1,Classical
273,Arthur,1,indie
274,Arthur Rubinstein,1,Classical
275,Arvo Pärt,1,Classical
276,Arzadous,1,rawstyle
277,Asako Toki,3,japanese
278,Aseul,2,dream pop
279,Ash-B,5,rap
280,Asheru,1,Hip-Hop
281,Ashnikko,2,Hip-Hop
282,Ashrount,2,
283,Asia,4,Progressive rock
284,Aso,4,chillhop
285,Asriel,1,japanese
286,Assertive,1,indie rock
287,Astro,3,noise
288,Astrud Gilberto,1,Bossa Nova
289,At the Gates,2,Melodic Death Metal
290,Atarii,1,
291,Atlanta Rhythm Section,1,Southern Rock
292,Atlantic Starr,3,soul
293,Atlas,3,Progressive rock
294,Attica Riots,1,canada
295,Au Revoir Simone,1,indie pop
296,Au/Ra,1,pop
297,AuSSchlag,11,punk
298,Audien,2,trance
299,Audiofreq,1,hardstyle
300,Audrey Mika,1,pop
301,Audrey Nuna,1,Hip-Hop
302,August Burns Red,1,metalcore
303,Aurora,1,trance
304,Austenyo,5,electronic
305,Austin Mahone,1,pop
306,Austin Millz,2,Hip-Hop
307,Austin Weber,1,youtube
308,Austrian Death Machine,1,metalcore
309,Autoerotique,1,electro
310,Autograph,2,hard rock
311,Auvic,1,House
312,AuxJack,1,lofi
313,Ava Max,3,pop
314,Average White Band,3,funk
315,Avicii,4,House
316,Avril Lavigne,15,pop
317,Awfuless,15,
318,Awich,76,Hip-Hop
319,Axis,1,hardcore
320,Axtasia,1,
321,Ayame,2,touhou
322,Ayane Yamazaki,3,japanese
323,Ayano Kaneko,2,japanese
324,Ayesha Erotica,1,electropop
325,Ayyaldo,1,
326,Azad,1,Deutschrap
327,Azealia Banks,3,Hip-Hop
328,Azrael-II,6,hardcore
329,Azumi Inoue,2,japanese
330,A夏目,1,japanese
331,A子,1,indie
332,B-Side,10,Hip-Hop
333,B.A.P,2,k-pop
334,B.o.B,5,Hip-Hop
335,BABYMETAL,3,kawaii metal
336,BABYNYMPH,1,experimental
337,BAD4ALL,1,
338,BADBADNOTGOOD,66,jazz
339,BAEKHYUN,4,k-pop
340,BAND-MAID®,2,japanese
341,BDC,1,Korean
342,BE'O,3,Hip-Hop
343,BEVY MACO,2,chill
344,BIDØ,2,Hip-Hop
345,BIM,4,electronic
346,BJ The Chicago Kid,2,soul
347,BLACKPINK,217,k-pop
348,BLAck pARty,4,rnb
349,BLOOM VASE,1,Hip-Hop
350,BLVK,3,Lo-Fi
351,BNNY,1,indie pop
352,BO:,1,pop
353,BOL4,2,indie
354,BOOGEY VOXX,5,vtuber
355,BRADIO,9,japanese
356,BREAKCHiLD,20,electronic
357,BROCKHAMPTON,430,Hip-Hop
358,BTB (Pan Pacific Playa),2,japanese
359,BTS,54,k-pop
360,BTS (防弾少年団),1,
361,BUMP OF CHICKEN,1,J-rock
362,BURNOUT SYNDROMES,1,japanese
363,BUTTER,1,indie
364,BVNDIT,1,k-pop
365,BVSSIC,1,dubstep
366,Babeheaven,1,indie pop
367,Baby Keem,5,rap
368,Baby Rose,2,soul
369,Baby Tate,1,pop
370,Backstreet Boys,10,pop
371,Baco Exu do Blues,16,rap
372,Bad Boy Bill,1,House
373,Bad Bunny,1,Reggaeton
374,Bad Computer,4,electro house
375,Bad Suns,3,indie rock
376,BadSummer,2,Hip-Hop
377,Baha Men,1,reggae
378,BaianaSystem,4,dub
379,Baird,1,electronic
380,Bakar,2,french rap
381,Balming Tiger,5,Korean
382,Bambam,2,got7
383,Bambi,1,Soundtrack
384,Bananarama,1,80s
385,Band Aid,5,christmas
386,Band Nah,1,indie rock
387,Bandetto,1,hardcore
388,Bandoum,1,USA
389,Bang Ye Dam,1,Korean
390,Banvox,1,dubstep
391,Bar 9,3,dubstep
392,Barbara Mason,1,soul
393,Barbra Streisand,1,female vocalists
394,Barbwalters,1,future funk
395,Barely Alive,3,dubstep
396,Baron Barber,1,
397,Barry McGuire,1,classic rock
398,Bartje Biertje,3,
399,Bas,2,rap
400,Basement Revolver,1,indie rock
401,Basia,1,jazz
402,BassBoy,6,Rave
403,Basshunter,1,dance
404,Bassti,7,lofi
405,BastienGOAT,1,electronic
406,Bastion,1,new wave
407,Battles,1,math rock
408,Bauhaus,18,post-punk
409,Bayani Agbayani,1,philippines
410,Bayli,3,pop
411,Bayonetta,17,jazz
412,Bazzi,6,rnb
413,Be'lakor,14,Melodic Death Metal
414,Beach Fossils,1,Lo-Fi
415,Beach Goons,1,Garage Rock
416,Beach House,1,dream pop
417,Beastie Boys,1,Hip-Hop
418,Beat MARIO,1,Beat Mario
419,Beatenberg,1,indie pop
420,Beatrice Eli,1,seen live
421,Beatriz Luengo,1,pop
422,Beau Diako,2,indie
423,Beau Young Prince,1,Hip-Hop
424,Beauregard,1,
425,Bebe Rexha,16,pop
426,Bee Gees,13,Disco
427,Bee-B,1,rnb
428,Beenzino,5,Korean
429,Beirut,1,folk
430,Bella Poarch,2,pop
431,Belly,1,alternative
432,Ben Bada Boom,1,hip hop
433,Ben Beal,123,Hip-Hop
434,Ben Platt,2,pop
435,Ben Reilly,1,trance
436,Ben Yen,1,
437,Beneath the Massacre,4,Technical Death Metal
438,Benighted,1,Brutal Death Metal
439,Benja,1,indie pop
